id,strand,fiveseen,polyAseen,threeseen,fiveend,polyAend,threeend,primer,chimera
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/114058/1636_62_CCS,-,1,1,1,31,1605,1639,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/114089/31_1593_CCS,+,1,1,1,31,1593,1627,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/114127/954_57_CCS,-,1,1,1,28,925,953,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/114147/30_1108_CCS,+,1,1,1,30,1108,1131,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/114275/1138_59_CCS,-,1,1,1,31,1110,1140,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/114624/1022_57_CCS,-,1,1,1,30,995,1023,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/114748/1620_64_CCS,-,1,1,1,30,1586,1621,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/114798/31_913_CCS,+,1,1,1,31,913,946,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/114877/31_1114_CCS,+,1,1,1,31,1114,1150,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/114889/1051_59_CCS,-,1,1,1,28,1020,1050,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/114906/1045_97_CCS,-,1,1,1,30,978,1047,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/114918/1142_60_CCS,-,1,1,1,31,1113,1144,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/114941/31_970_CCS,+,1,1,1,31,970,1003,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/115049/31_1429_CCS,+,1,1,1,31,1429,1462,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/115253/1142_57_CCS,-,1,1,1,31,1116,1144,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/115280/30_1442_CCS,+,1,1,1,30,1442,1473,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/115454/31_1113_CCS,+,1,1,1,31,1113,1144,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/115585/1146_61_CCS,-,1,1,1,31,1116,1148,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/115727/1335_60_CCS,-,1,1,1,30,1305,1336,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/115760/1029_59_CCS,-,1,1,1,31,1001,1031,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/115793/1142_56_CCS,-,1,1,1,30,1116,1143,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/115796/31_979_CCS,+,1,1,1,31,979,1015,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/115827/30_1137_CCS,+,1,1,1,30,1137,1174,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/115895/30_978_CCS,+,1,1,1,30,978,1004,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/115905/31_913_CCS,+,1,1,1,31,913,943,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/115930/1614_55_CCS,-,1,1,1,28,1587,1615,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/116032/30_1118_CCS,+,1,1,1,30,1118,1155,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/116037/1051_53_CCS,-,1,1,1,30,1028,1052,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/116066/31_979_CCS,+,1,1,1,31,979,1024,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/116073/954_71_CCS,-,1,1,1,31,914,956,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/116358/1488_57_CCS,-,1,1,1,31,1462,1490,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/116364/1139_57_CCS,-,1,1,1,31,1113,1141,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/116428/1355_59_CCS,-,1,1,1,31,1327,1357,1,0
